# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_25649819763.59163
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_311832.53357957734
# 
Resultados:
# tau_s_=_(6.38+/-0.51)e+01
# dphi_rad_=_6.41+/-0.01
# SAR_W/g_=_58.95+/-4.11
# Hc_kA/m_=_3.41+/-0.27
# Mr_A/m_=_17.52+/-1.22
# Suceptibilidad_a_M=0_=_0.0052+/-0.0001
Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_070dA_100Mss_bobN5_PMag0006.txt		20.00	16.36	3.10	27311.10	144.98	3.118040e+05	2.491786e+01	6.396066e+00	55.03	57.857276	4490	5.325e-03
300kHz_070dA_100Mss_bobN5_PMag0007.txt		20.00	14.92	2.84	27311.10	144.14	3.118040e+05	2.477327e+01	6.386646e+00	50.16	52.993209	4490	5.282e-03
300kHz_070dA_100Mss_bobN5_PMag0008.txt		20.00	17.15	3.26	27311.10	144.62	3.118040e+05	2.485554e+01	6.401795e+00	57.67	60.821485	4490	5.315e-03
300kHz_070dA_100Mss_bobN5_PMag0009.txt		20.00	19.20	3.67	27311.10	143.80	3.118040e+05	2.471451e+01	6.416917e+00	64.61	68.662931	4490	5.289e-03
300kHz_070dA_100Mss_bobN5_PMag0010.txt		20.00	17.65	3.50	27311.10	138.65	3.118040e+05	2.383030e+01	6.410586e+00	59.36	65.376959	4490	5.100e-03
300kHz_070dA_100Mss_bobN5_PMag0011.txt		20.00	17.49	3.35	27311.10	143.50	3.118040e+05	2.466297e+01	6.405132e+00	58.82	62.549643	4490	5.275e-03
300kHz_070dA_100Mss_bobN5_PMag0012.txt		20.00	17.84	3.38	27311.10	145.18	3.118040e+05	2.495148e+01	6.406227e+00	60.04	63.116381	4490	5.336e-03
300kHz_070dA_100Mss_bobN5_PMag0013.txt		20.00	17.24	3.37	27311.10	140.46	3.118040e+05	2.414087e+01	6.405964e+00	57.97	62.980164	4490	5.162e-03
300kHz_070dA_100Mss_bobN5_PMag0014.txt		20.00	18.23	3.63	27311.10	138.02	3.118735e+05	2.371602e+01	6.415335e+00	61.28	67.841626	4489	5.077e-03
300kHz_070dA_100Mss_bobN5_PMag0015.txt		20.00	18.24	3.47	27311.10	144.25	3.118040e+05	2.479168e+01	6.409702e+00	61.33	64.918761	4490	5.305e-03
300kHz_070dA_100Mss_bobN5_PMag0016.txt		20.00	17.97	3.45	27311.10	143.05	3.118735e+05	2.458090e+01	6.408873e+00	60.43	64.487653	4489	5.265e-03
300kHz_070dA_100Mss_bobN5_PMag0017.txt		20.00	15.24	2.98	27311.10	140.44	3.118040e+05	2.413757e+01	6.391716e+00	51.26	55.610052	4490	5.150e-03
300kHz_070dA_100Mss_bobN5_PMag0018.txt		20.00	17.75	3.44	27311.10	141.68	3.118040e+05	2.435057e+01	6.408555e+00	59.70	64.322973	4490	5.208e-03
300kHz_070dA_100Mss_bobN5_PMag0019.txt		20.00	18.09	3.60	27311.10	138.12	3.118040e+05	2.373918e+01	6.414377e+00	60.89	67.344749	4490	5.077e-03
300kHz_070dA_100Mss_bobN5_PMag0020.txt		20.00	16.55	3.22	27311.10	140.82	3.118040e+05	2.420253e+01	6.400741e+00	55.65	60.276291	4490	5.171e-03
300kHz_070dA_100Mss_bobN5_PMag0021.txt		20.00	19.26	3.84	27311.10	137.62	3.118040e+05	2.365250e+01	6.423413e+00	64.81	72.042829	4490	5.074e-03
300kHz_070dA_100Mss_bobN5_PMag0022.txt		20.00	17.41	3.40	27311.10	140.44	3.118040e+05	2.413744e+01	6.407305e+00	58.59	63.676375	4490	5.160e-03
300kHz_070dA_100Mss_bobN5_PMag0023.txt		20.00	17.23	3.37	27311.10	140.40	3.118040e+05	2.413073e+01	6.405978e+00	57.95	62.988278	4490	5.159e-03
300kHz_070dA_100Mss_bobN5_PMag0024.txt		20.00	16.98	3.26	27311.10	143.13	3.118040e+05	2.459952e+01	6.401885e+00	57.11	60.868749	4490	5.256e-03
300kHz_070dA_100Mss_bobN5_PMag0025.txt		20.00	17.61	3.39	27311.10	142.76	3.118040e+05	2.453571e+01	6.406647e+00	59.24	63.334708	4490	5.246e-03
300kHz_070dA_100Mss_bobN5_PMag0026.txt		20.00	19.88	3.92	27311.10	139.05	3.118040e+05	2.389795e+01	6.426431e+00	66.89	73.614503	4490	5.128e-03
300kHz_070dA_100Mss_bobN5_PMag0027.txt		20.00	19.10	3.77	27311.10	139.23	3.118040e+05	2.392814e+01	6.420621e+00	64.27	70.589796	4490	5.126e-03
300kHz_070dA_100Mss_bobN5_PMag0028.txt		20.00	19.16	3.90	27311.10	134.90	3.118040e+05	2.318570e+01	6.425425e+00	64.44	73.090897	4490	4.974e-03
300kHz_070dA_100Mss_bobN5_PMag0029.txt		20.00	16.34	3.14	27311.10	142.88	3.118040e+05	2.455650e+01	6.397615e+00	54.97	58.659311	4490	5.248e-03
300kHz_070dA_100Mss_bobN5_PMag0030.txt		20.00	16.18	3.20	27311.10	138.78	3.118040e+05	2.385228e+01	6.399831e+00	54.43	59.806447	4490	5.096e-03
300kHz_070dA_100Mss_bobN5_PMag0031.txt		20.00	15.74	3.06	27311.10	141.34	3.118040e+05	2.429153e+01	6.394560e+00	52.93	57.080412	4490	5.182e-03
300kHz_070dA_100Mss_bobN5_PMag0032.txt		20.00	18.36	3.59	27311.10	140.23	3.118040e+05	2.410130e+01	6.414281e+00	61.77	67.295041	4490	5.160e-03
