# Temperatura_=_20.0
# Concentracion g/m^3_=_10770.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_311771.52510940266
# Promedio de 31 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-3.221121e-09	-1.447009e-09	-2.800518e+01	-1.633907e+02
1.000000e-08	-3.219763e-09	-1.449516e-09	-2.799337e+01	-1.629444e+02
2.000000e-08	-3.216988e-09	-1.446764e-09	-2.796924e+01	-1.625397e+02
3.000000e-08	-3.213145e-09	-1.445498e-09	-2.793583e+01	-1.623770e+02
4.000000e-08	-3.208385e-09	-1.445511e-09	-2.789445e+01	-1.622866e+02
5.000000e-08	-3.202520e-09	-1.441343e-09	-2.784346e+01	-1.618856e+02
6.000000e-08	-3.195548e-09	-1.429854e-09	-2.778284e+01	-1.610051e+02
7.000000e-08	-3.187652e-09	-1.405189e-09	-2.771419e+01	-1.599375e+02
8.000000e-08	-3.178544e-09	-1.410426e-09	-2.763500e+01	-1.592041e+02
9.000000e-08	-3.167567e-09	-1.489447e-09	-2.753956e+01	-1.590362e+02
1.000000e-07	-3.154618e-09	-1.520279e-09	-2.742698e+01	-1.590903e+02
1.100000e-07	-3.139903e-09	-1.486965e-09	-2.729905e+01	-1.587145e+02
1.200000e-07	-3.123828e-09	-1.368796e-09	-2.715928e+01	-1.575448e+02
1.300000e-07	-3.107036e-09	-1.254322e-09	-2.701329e+01	-1.558662e+02
1.400000e-07	-3.089465e-09	-1.443597e-09	-2.686053e+01	-1.543928e+02
1.500000e-07	-3.070688e-09	-1.492088e-09	-2.669727e+01	-1.536669e+02
1.600000e-07	-3.051013e-09	-1.213390e-09	-2.652622e+01	-1.536234e+02
1.700000e-07	-3.030532e-09	-1.311131e-09	-2.634815e+01	-1.536847e+02
1.800000e-07	-3.008704e-09	-1.497351e-09	-2.615837e+01	-1.532514e+02
1.900000e-07	-2.985760e-09	-1.249828e-09	-2.595888e+01	-1.521338e+02
2.000000e-07	-2.962162e-09	-1.172040e-09	-2.575372e+01	-1.506020e+02
2.100000e-07	-2.937358e-09	-1.373929e-09	-2.553807e+01	-1.491119e+02
2.200000e-07	-2.910913e-09	-1.231993e-09	-2.530815e+01	-1.480040e+02
2.300000e-07	-2.883314e-09	-1.114745e-09	-2.506819e+01	-1.473842e+02
