# Configuracion:
# Concentracion g/m^3_=_10770.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_311802.2122552855
# 
Resultados:
# tau_s_=_(4.04+/-0.46)e+01
# dphi_rad_=_6.36+/-0.01
# SAR_W/g_=_78.74+/-8.51
# Hc_kA/m_=_3.64+/-0.25
# Mr_A/m_=_26.75+/-1.88
# Suceptibilidad_a_M=0_=_0.0076+/-0.0002
Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_088dA_100Mss_bobN1_NF0007.txt		20.00	26.03	3.58	34000.44	252.56	3.118040e+05	9.591451e+00	6.361773e+00	77.66	40.197217	4490	7.585e-03
300kHz_088dA_100Mss_bobN1_NF0008.txt		20.00	27.88	3.87	34000.44	249.84	3.118040e+05	9.524606e+00	6.369608e+00	84.78	44.224009	4490	7.457e-03
300kHz_088dA_100Mss_bobN1_NF0009.txt		20.00	23.30	3.26	34000.44	250.15	3.118040e+05	9.453578e+00	6.347479e+00	62.64	32.863275	4490	7.288e-03
300kHz_088dA_100Mss_bobN1_NF0010.txt		20.00	26.41	3.61	34000.44	252.83	3.118040e+05	9.600688e+00	6.362747e+00	78.69	40.697191	4490	7.518e-03
300kHz_088dA_100Mss_bobN1_NF0011.txt		20.00	27.95	3.80	34000.44	248.59	3.118040e+05	9.452730e+00	6.369985e+00	84.51	44.418176	4490	7.399e-03
300kHz_088dA_100Mss_bobN1_NF0012.txt		20.00	27.62	3.79	34000.44	250.64	3.118040e+05	9.539426e+00	6.366025e+00	81.40	42.381520	4490	7.363e-03
300kHz_088dA_100Mss_bobN1_NF0013.txt		20.00	31.56	4.24	34000.44	251.01	3.118040e+05	9.632854e+00	6.385770e+00	101.73	52.547825	4490	7.554e-03
300kHz_088dA_100Mss_bobN1_NF0014.txt		20.00	26.95	3.74	34000.44	253.00	3.118040e+05	9.632449e+00	6.364312e+00	80.50	41.501370	4490	7.600e-03
300kHz_088dA_100Mss_bobN1_NF0015.txt		20.00	26.78	3.68	34000.44	252.64	3.118040e+05	9.588780e+00	6.362588e+00	78.44	40.615473	4490	7.315e-03
300kHz_088dA_100Mss_bobN1_NF0016.txt		20.00	25.58	3.52	34000.44	256.53	3.118040e+05	9.727907e+00	6.358558e+00	75.54	38.546515	4490	7.716e-03
300kHz_088dA_100Mss_bobN1_NF0017.txt		20.00	24.93	3.38	34000.44	256.63	3.118040e+05	9.710764e+00	6.354840e+00	71.70	36.638141	4490	7.779e-03
300kHz_088dA_100Mss_bobN1_NF0018.txt		20.00	28.57	3.90	34000.44	247.97	3.118040e+05	9.448212e+00	6.370099e+00	84.58	44.476594	4490	7.363e-03
300kHz_088dA_100Mss_bobN1_NF0019.txt		20.00	26.82	3.65	34000.44	254.95	3.118040e+05	9.688801e+00	6.363096e+00	79.76	40.877062	4490	7.612e-03
300kHz_088dA_100Mss_bobN1_NF0020.txt		20.00	28.78	3.82	34000.44	255.99	3.118040e+05	9.757091e+00	6.370007e+00	87.25	44.429422	4490	7.340e-03
300kHz_088dA_100Mss_bobN1_NF0021.txt		20.00	28.06	3.80	34000.44	259.63	3.118040e+05	9.892662e+00	6.367112e+00	85.52	42.940616	4490	7.778e-03
300kHz_088dA_100Mss_bobN1_NF0022.txt		20.00	24.33	3.27	34000.44	262.82	3.118040e+05	9.925228e+00	6.349161e+00	67.48	33.726073	4490	7.638e-03
300kHz_088dA_100Mss_bobN1_NF0023.txt		20.00	23.60	3.32	34000.44	255.37	3.118040e+05	9.626662e+00	6.349777e+00	66.06	34.041685	4490	7.481e-03
300kHz_088dA_100Mss_bobN1_NF0024.txt		20.00	25.06	3.37	34000.44	261.63	3.118040e+05	9.895430e+00	6.352388e+00	70.57	35.380604	4490	7.665e-03
300kHz_088dA_100Mss_bobN1_NF0025.txt		20.00	26.17	3.60	34000.44	255.50	3.118040e+05	9.685304e+00	6.357749e+00	74.41	38.131167	4490	7.805e-03
300kHz_088dA_100Mss_bobN1_NF0026.txt		20.00	28.18	3.75	34000.44	259.42	3.118040e+05	9.870860e+00	6.365722e+00	83.92	42.226394	4490	7.789e-03
300kHz_088dA_100Mss_bobN1_NF0027.txt		20.00	24.23	3.25	34000.44	257.03	3.118040e+05	9.680901e+00	6.350068e+00	66.73	34.190982	4490	7.659e-03
300kHz_088dA_100Mss_bobN1_NF0028.txt		20.00	26.25	3.46	34000.44	263.23	3.118040e+05	9.962211e+00	6.355866e+00	74.61	37.165140	4490	7.783e-03
300kHz_088dA_100Mss_bobN1_NF0029.txt		20.00	24.75	3.31	34000.44	257.99	3.118040e+05	9.770568e+00	6.352780e+00	70.07	35.581547	4490	7.578e-03
300kHz_088dA_100Mss_bobN1_NF0030.txt		20.00	28.50	3.92	34000.44	252.61	3.118040e+05	9.634726e+00	6.369384e+00	85.54	44.108950	4490	7.607e-03
300kHz_088dA_100Mss_bobN1_NF0031.txt		20.00	25.96	3.45	34000.44	261.61	3.118040e+05	9.903884e+00	6.356558e+00	74.87	37.519640	4490	7.796e-03
300kHz_088dA_100Mss_bobN1_NF0032.txt		20.00	27.08	3.71	34000.44	254.89	3.118040e+05	9.668339e+00	6.364138e+00	80.63	41.412360	4490	7.551e-03
300kHz_088dA_100Mss_bobN1_NF0033.txt		20.00	30.56	4.16	34000.44	249.84	3.118040e+05	9.559739e+00	6.381270e+00	96.55	50.228330	4490	7.457e-03
300kHz_088dA_100Mss_bobN1_NF0034.txt		20.00	27.15	3.65	34000.44	260.39	3.118040e+05	9.842899e+00	6.360693e+00	78.60	39.642565	4490	7.907e-03
300kHz_088dA_100Mss_bobN1_NF0035.txt		20.00	26.60	3.63	34000.44	257.04	3.118040e+05	9.778901e+00	6.361190e+00	78.59	39.897927	4490	7.792e-03
